source,evaluation_protocol,segment,model_name,base_model_name,feature_block,encoding_strategy,feature_count,numeric_feature_count,categorical_feature_count,validation_mae,validation_rmse,validation_r2,validation_median_absolute_error,test_mae,test_rmse,test_r2,test_median_absolute_error,rolling_mae_mean,rolling_mae_std,rolling_mae_min,rolling_mae_max,rolling_r2_mean,rolling_n_folds,train_rows,validation_rows,test_rows,rolling_min_validation_rows,rolling_max_validation_rows,fit_seconds,validation_predict_seconds,final_fit_seconds,test_predict_seconds,numeric_features,categorical_features,feature_names,selection_metric,selection_mae
global_rolling,rolling_yearly,global,hist_gradient_boosting__global_stable_tail,,global_stable_tail,ordinal,,,,,,,,,,,,4.065079464195332,1.000106862850984,,5.651730494296957,,5.0,,,,,,,,,,,,,rolling_mae_mean,4.065079464195332
global_rolling,rolling_yearly,global,hist_gradient_boosting__global_tail_underlying,,global_tail_underlying,ordinal,,,,,,,,,,,,4.065079464195332,1.000106862850984,,5.651730494296957,,5.0,,,,,,,,,,,,,rolling_mae_mean,4.065079464195332
global_rolling,rolling_yearly,global,catboost_native__global_stable_no_sector,,global_stable_no_sector,native,,,,,,,,,,,,4.082067043523489,1.1942969384827262,,5.878009726969983,,5.0,,,,,,,,,,,,,rolling_mae_mean,4.082067043523489
global_rolling,rolling_yearly,global,hist_gradient_boosting__global_all_underlying,,global_all_underlying,ordinal,,,,,,,,,,,,4.083699537460488,1.0506285893027454,,5.763272160736965,,5.0,,,,,,,,,,,,,rolling_mae_mean,4.083699537460488
global_rolling,rolling_yearly,global,hist_gradient_boosting__global_risk_underlying,,global_risk_underlying,ordinal,,,,,,,,,,,,4.083699537460488,1.0506285893027454,,5.763272160736965,,5.0,,,,,,,,,,,,,rolling_mae_mean,4.083699537460488
global_rolling,rolling_yearly,global,hist_gradient_boosting__global_stable,,global_stable,ordinal,,,,,,,,,,,,4.083699537460488,1.0506285893027454,,5.763272160736965,,5.0,,,,,,,,,,,,,rolling_mae_mean,4.083699537460488
global_rolling,rolling_yearly,global,hist_gradient_boosting_ablation__worst_of_without_noise,,worst_of_without_noise,ordinal,,,,,,,,,,,,4.098674381900415,1.0682597865548162,,5.795675239865981,,5.0,,,,,,,,,,,,,rolling_mae_mean,4.098674381900415
global_rolling,rolling_yearly,global,xgboost_ordinal__global_stable_tail,,global_stable_tail,ordinal,,,,,,,,,,,,4.101838308440691,0.9945513391374524,,5.609430059293525,,5.0,,,,,,,,,,,,,rolling_mae_mean,4.101838308440691
global_rolling,rolling_yearly,global,xgboost_ordinal__global_tail_underlying,,global_tail_underlying,ordinal,,,,,,,,,,,,4.101838308440691,0.9945513391374524,,5.609430059293525,,5.0,,,,,,,,,,,,,rolling_mae_mean,4.101838308440691
global_rolling,rolling_yearly,global,hist_gradient_boosting__global_stable_no_sector,,global_stable_no_sector,ordinal,,,,,,,,,,,,4.1028851723873165,1.0555607948007584,,5.785113784605657,,5.0,,,,,,,,,,,,,rolling_mae_mean,4.1028851723873165
