segment,feature,train_mean,validation_mean,train_p95,validation_p95,train_missing_rate,validation_missing_rate,missing_rate_delta,ks_statistic,ks_p_value,wasserstein_distance,validation_shift_in_train_sd,train_target_corr,validation_target_corr,abs_validation_shift_in_train_sd
single,requested_year,2018.480145498636,2022.0,2021.0,2022.0,0.0,0.0,0.0,1.0,5e-324,3.5198545013640494,2.053203020089488,0.0032266450906261956,,2.053203020089488
single,basket_realized_vol_zscore_mean,-0.009781387556356902,0.3129922952005212,2.5124057426937934,2.955599511653336,0.0,0.0,0.0,0.12683959388442534,6.603863572289982e-07,0.3257077193099779,0.2243191962877912,-0.1718736597286232,-0.05579428167011059,0.2243191962877912
single,basket_realized_vol_zscore_max,-0.009781387556356902,0.3129922952005212,2.5124057426937934,2.955599511653336,0.0,0.0,0.0,0.12683959388442534,6.603863572289982e-07,0.3257077193099779,0.2243191962877912,-0.1718736597286232,-0.05579428167011059,0.2243191962877912
single,underlying_JEDI,0.08184298272203698,0.05056179775280899,1.0,0.3499999999999659,0.0,0.0,0.0,0.03128118496922794,0.7455116624640109,0.03128118496922794,-0.11411270311268376,0.36290015964043465,0.3031519492792697,0.11411270311268376
single,observation_interval_months,3.351491794050145,3.6996611378633846,12.0,12.0,0.0,0.0,0.0,0.041162740269722,0.40510031336203284,0.3512367865202055,0.11126170924865467,0.23770508814679214,0.254891365803512,0.11126170924865467
single,underlying_HTTX,0.06880872991815702,0.09363295880149813,1.0,1.0,0.0,0.0,0.0,0.024824228883341126,0.931833783622515,0.024824228883341126,0.09806963256158456,-0.32857364521115756,-0.35255366567007396,0.09806963256158456
single,basket_realized_vol_change_21d_mean,-0.0001544582478535677,-0.007831298796860528,0.10467896882080108,0.09307522318573687,0.0,0.0,0.0,0.06078961619285382,0.06390778342428369,0.00992767416244688,-0.09678967141202219,-0.08554009554325519,0.015205452432138958,0.09678967141202219
single,basket_realized_vol_change_21d_max,-0.0001544582478535677,-0.007831298796860528,0.10467896882080108,0.09307522318573687,0.0,0.0,0.0,0.06078961619285382,0.06390778342428369,0.00992767416244688,-0.09678967141202219,-0.08554009554325519,0.015205452432138958,0.09678967141202219
single,underlying_REBL,0.06335253107002121,0.08614232209737828,1.0,1.0,0.0,0.0,0.0,0.02278979102735701,0.9657833195348693,0.02278979102735701,0.0935557049752384,-0.292682023946661,-0.3284260689007455,0.0935557049752384
single,quoted_implied_vol,0.278442800848742,0.2863325842696629,0.49084,0.53575,0.0,0.0,0.0,0.035481754203123717,0.5948203559078977,0.00891467940006789,0.07158105245077773,-0.5525581565610365,-0.544771995598632,0.07158105245077773
single,underlying_MNDO,0.07214307365868446,0.054307116104868915,1.0,1.0,0.0,0.0,0.0,0.017835957553815507,0.9980089367638162,0.017835957553815507,-0.06893798772521727,-0.10195793313564834,-0.09543814536353029,0.06893798772521727
single,quoted_to_realized_vol_ratio,0.8540546346935876,0.8710683511560061,1.21939621007349,1.200494044753431,0.0,0.0,0.0,0.09232624118306196,0.0007310539240831636,0.02888582159917813,0.0686791784565282,0.3167724056420868,0.27137447323004316,0.0686791784565282
single,underlying_KYBR,0.07396180660806305,0.056179775280898875,1.0,1.0,0.0,0.0,0.0,0.01778203132716416,0.9980966654743133,0.01778203132716416,-0.06794588599761303,0.09072709381284033,0.13034739078621785,0.06794588599761303
single,log_notional_credits,12.585099162680619,12.651359609890658,14.508658238524095,14.508658238524095,0.0,0.0,0.0,0.029935299880908206,0.7914967402418641,0.06785203649060445,0.06445398804431779,0.0023665943620911688,-0.06776625638191794,0.06445398804431779
single,underlying_NABO,0.05971506517126402,0.0749063670411985,1.0,1.0,0.0,0.0,0.0,0.015191301869934448,0.9998814291562345,0.015191301869934448,0.06410963429519495,0.340611522343605,0.3834031064206423,0.06410963429519495
single,implied_minus_realized_vol_mean,-0.08396540738507355,-0.07402163095862696,0.056281067857961935,0.059972148836804226,0.0,0.0,0.0,0.06672263641348586,0.03171859092451572,0.014751082912354463,0.0638846367646224,0.4231198760712656,0.39422511267760113,0.0638846367646224
single,structural_base_vol_mean,0.27123067596241285,0.2776966292134832,0.5,0.5,0.0,0.0,0.0,0.03618279514959133,0.5698499963684681,0.007557601724731022,0.062442161472972886,-0.5727806123412744,-0.5542536397700022,0.062442161472972886
single,structural_base_vol_min,0.27123067596241285,0.2776966292134832,0.5,0.5,0.0,0.0,0.0,0.03618279514959133,0.5698499963684681,0.007557601724731022,0.062442161472972886,-0.5727806123412744,-0.5542536397700022,0.062442161472972886
single,structural_base_vol_max,0.27123067596241285,0.2776966292134832,0.5,0.5,0.0,0.0,0.0,0.03618279514959133,0.5698499963684681,0.007557601724731022,0.062442161472972886,-0.5727806123412744,-0.5542536397700022,0.062442161472972886
single,realized_minus_structural_vol_mean,0.09117753227140275,0.08265758601480673,0.4465371155404158,0.48751255334991656,0.0,0.0,0.0,0.07166227877475068,0.016844159231865285,0.01566474740984664,-0.05541334421412862,-0.4387003385261257,-0.41506361650474405,0.05541334421412862
single,underlying_BSKR,0.06638375265231888,0.07865168539325842,1.0,1.0,0.0,0.0,0.0,0.012267932740939513,0.999999514746054,0.012267932740939513,0.04927836456530115,-0.05204304282732699,-0.03757295177666765,0.04927836456530115
single,quoted_minus_structural_vol_mean,0.007212124886329189,0.008635955056179775,0.056810000000000006,0.05880999999999998,0.0,0.0,0.0,0.033501242573790946,0.6662630318622199,0.0021380165139135332,0.04891548395671073,-0.05468723171010679,-0.10979886823244464,0.04891548395671073
single,callable_maturity_months,72.33986031483624,73.61797752808988,115.21971252566735,116.81971252566736,0.0,0.0,0.0,0.03208780779103426,0.7170512214382465,1.2927181392097924,0.04586185573030927,0.3073455381994235,0.36122560157824757,0.04586185573030927
single,nominal_maturity_months,72.33986031483624,73.61797752808988,115.21971252566735,116.81971252566736,0.0,0.0,0.0,0.03208780779103426,0.7170512214382465,1.2927181392097924,0.04586185573030927,0.3073455381994235,0.36122560157824757,0.04586185573030927
single,underlying_POBK,0.06729311912700818,0.07865168539325842,1.0,1.0,0.0,0.0,0.0,0.011358566266250203,0.9999999649111776,0.011358566266250203,0.04533833804393747,-0.1823055191740847,-0.18753142960876984,0.04533833804393747
single,underlying_DRC,0.06820248560169749,0.05805243445692884,1.0,1.0,0.0,0.0,0.0,0.010150051144768635,0.9999999996557231,0.010150051144768635,-0.040263113516127644,-0.06424789197699447,-0.03910108536598453,0.040263113516127644
single,underlying_WOOK,0.07578053955744164,0.08614232209737828,1.0,1.0,0.0,0.0,0.0,0.010361782539936581,0.9999999991313795,0.010361782539936581,0.03915327300777386,0.00414870109804575,0.07588987182774974,0.03915327300777386
single,underlying_TECH,0.07729615034859048,0.06741573033707865,1.0,1.0,0.0,0.0,0.0,0.009880420011511903,0.9999999999028474,0.009880420011511792,-0.03699689763038625,-0.08914099230213614,-0.057312702702621975,0.03699689763038625
single,quoted_to_structural_vol_ratio,1.0268097501335591,1.030019951977907,1.1828809523809523,1.1837222222222221,0.0,0.0,0.0,0.036149304124618364,0.5710356188395956,0.004181737522032068,0.03184421217205677,-0.005346661826570053,-0.06968625519270552,0.03184421217205677
